by,descendants,id,kids,score,time,title,type,url,text
charlieirish,0.0,40290540,,4,1715110639,HTTP/2 on Heroku,story,https://blog.heroku.com/heroku-http2-public-beta,
farslan,73.0,40265904,"[40277291, 40278857, 40276779, 40278660, 40280867, 40269963, 40277504, 40278297, 40276805, 40280427, 40279361, 40283446, 40281370, 40280716, 40277867, 40280471]",238,1714925394,Visiting the annual Braun collectors fair,story,https://arslan.io/2024/05/05/braun-borse-2024/,
st_goliath,74.0,40277469,"[40278184, 40278016, 40278227, 40280475, 40277868, 40278888, 40278099, 40278113, 40281385, 40279626, 40278242, 40281258, 40280405, 40278519, 40278236, 40279264]",244,1715018259,Results of the Grand C++ Error Explosion Competition (2014),story,https://tgceec.tumblr.com/post/74534916370/results-of-the-grand-c-error-explosion,
perihelions,0.0,40292977,,8,1715127043,Letter from 14 senators slamming TSA facial recognition in airports,story,https://www.theverge.com/2024/5/3/24148346/tsa-facial-recognition-airports-us-senators-oversight,
voisin,1.0,40292588,[40292667],10,1715123566,Shell sold carbon credits for carbon that was never captured,story,https://www.cbc.ca/news/climate/shell-greenpeace-quest-1.7196792,
embeng4096,240.0,40285628,"[40286196, 40285950, 40285896, 40286879, 40286434, 40285845, 40286405, 40288095, 40289710, 40285891, 40286147, 40289818, 40286183, 40285951, 40285873, 40286661, 40285982, 40287991, 40287659, 40286742, 40286799, 40290983, 40290642, 40285792]",143,1715090885,The Rise of the Forever Renter Class,story,https://ofdollarsanddata.com/the-forever-renter-class/,
pohl,3.0,40277753,"[40283193, 40286180, 40283119, 40283551]",55,1715019443,Async Channels for Swift Concurrency,story,https://github.com/gh123man/Async-Channels,
cgoodmac,1.0,40291271,[40292556],17,1715114846,Price differences booking travel depending on Windows vs. Mac user agents,story,https://twitter.com/richardhenry/status/1787569603947954331,
mooreds,20.0,40281314,"[40282567, 40282592]",55,1715045170,Utilities for refactoring and upgrading Ruby code based on ASTs,story,https://github.com/baweaver/refactor,
r4um,3.0,40272980,"[40285024, 40285540, 40273196]",19,1714990338,Symmetry,story,http://theprogrammersparadox.blogspot.com/2024/05/symmetry.html,
